busco_id,bin_id,overlap_percentage
16128at7147,OX371225.1_bin_261,100.0
16264at7147,OX371224.1_bin_990,100.0
16285at7147,OX371223.1_bin_1756,100.0
16470at7147,OX371225.1_bin_5,100.0
16747at7147,OX371225.1_bin_1087,100.0
16822at7147,OX371223.1_bin_230,100.0
16840at7147,OX371225.1_bin_207,100.0
16873at7147,OX371223.1_bin_15,100.0
16927at7147,OX371223.1_bin_1016,100.0
16945at7147,OX371223.1_bin_1842,100.0
17073at7147,OX371224.1_bin_170,100.0
17231at7147,OX371223.1_bin_1849,100.0
17265at7147,OX371225.1_bin_77,100.0
17402at7147,OX371225.1_bin_1090,100.0
17410at7147,OX371224.1_bin_642,100.0
17444at7147,OX371224.1_bin_1771,100.0
17528at7147,OX371224.1_bin_1838,100.0
17568at7147,OX371224.1_bin_534,100.0
17603at7147,OX371224.1_bin_363,100.0
17608at7147,OX371224.1_bin_972,100.0
17630at7147,OX371224.1_bin_1244,100.0
17649at7147,OX371223.1_bin_1320,100.0
17672at7147,OX371224.1_bin_1527,100.0
17711at7147,OX371224.1_bin_405,100.0
17793at7147,OX371224.1_bin_942,100.0
17796at7147,OX371225.1_bin_876,100.0
17799at7147,OX371223.1_bin_1713,100.0
17888at7147,OX371225.1_bin_6,100.0
17896at7147,OX371223.1_bin_1316,100.0
17953at7147,OX371223.1_bin_1054,100.0
17982at7147,OX371225.1_bin_1324,100.0
18006at7147,OX371223.1_bin_238,100.0
18027at7147,OX371223.1_bin_1611,100.0
18059at7147,OX371224.1_bin_165,100.0
18072at7147,OX371225.1_bin_1300,72.28486646884274
18072at7147,OX371225.1_bin_1301,27.71513353115727
18472at7147,OX371224.1_bin_60,100.0
18484at7147,OX371224.1_bin_485,100.0
18515at7147,OX371224.1_bin_1680,100.0
19144at7147,OX371223.1_bin_1814,100.0
